"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"220","sexe_enqueteur","group_pop","pop_local","homme",0.73728813559322,NA,0.670362455701184,0.804213815485257,"admin1","centre"
"123","ic_genre","group_pop","pdi","femme",0.5,NA,0.418044766288224,0.581955233711775,"admin1","centre_est"
"221","ic_genre","group_pop","pdi","homme",0.5,NA,0.418044766288224,0.581955233711775,"admin1","centre_est"
"315","ic_genre","group_pop","pop_local","femme",0.442622950819672,NA,0.368180893861886,0.517065007777458,"admin1","centre_est"
"413","ic_genre","group_pop","pop_local","homme",0.557377049180328,NA,0.482934992222542,0.631819106138114,"admin1","centre_est"
"124","ic_genre","group_pop","pdi","femme",0.221518987341772,NA,0.190104624889182,0.252933349794363,"admin1","sahel"
"222","ic_genre","group_pop","pdi","homme",0.778481012658228,NA,0.747066650205637,0.809895375110819,"admin1","sahel"
"316","ic_genre","group_pop","pop_local","femme",0.231012658227848,NA,0.203400085342692,0.258625231113005,"admin1","sahel"
"414","ic_genre","group_pop","pop_local","homme",0.768987341772152,NA,0.741374768886996,0.796599914657308,"admin1","sahel"
"125","ic_genre","group_pop","pdi","femme",0.225,NA,0.186527417606495,0.263472582393505,"admin1","centre_nord"
"223","ic_genre","group_pop","pdi","homme",0.775,NA,0.736527417606495,0.813472582393505,"admin1","centre_nord"
"317","ic_genre","group_pop","pop_local","femme",0.297029702970297,NA,0.259561577779852,0.334497828160742,"admin1","centre_nord"
"415","ic_genre","group_pop","pop_local","homme",0.702970297029703,NA,0.665502171839258,0.740438422220148,"admin1","centre_nord"
"126","ic_genre","group_pop","pop_local","femme",0.227272727272727,NA,0.1670475078456,0.287497946699854,"admin1","centre_ouest"
"224","ic_genre","group_pop","pop_local","homme",0.772727272727273,NA,0.712502053300146,0.8329524921544,"admin1","centre_ouest"
"127","ic_genre","group_pop","pdi","femme",0.274809160305344,NA,0.229362012789403,0.320256307821284,"admin1","nord"
"225","ic_genre","group_pop","pdi","homme",0.725190839694656,NA,0.679743692178716,0.770637987210597,"admin1","nord"
"318","ic_genre","group_pop","pop_local","femme",0.260952380952381,NA,0.229369429733198,0.292535332171564,"admin1","nord"
"416","ic_genre","group_pop","pop_local","homme",0.739047619047619,NA,0.707464667828436,0.770630570266802,"admin1","nord"
"128","ic_genre","group_pop","pdi","femme",0.23728813559322,NA,0.18461994836219,0.289956322824251,"admin1","boucle_du_mouhoun"
"226","ic_genre","group_pop","pdi","homme",0.76271186440678,NA,0.710043677175749,0.81538005163781,"admin1","boucle_du_mouhoun"
"319","ic_genre","group_pop","pop_local","femme",0.36,NA,0.333272769952997,0.386727230047002,"admin1","boucle_du_mouhoun"
"417","ic_genre","group_pop","pop_local","homme",0.64,NA,0.613272769952997,0.666727230047003,"admin1","boucle_du_mouhoun"
"129","ic_genre","group_pop","pdi","femme",0.4,NA,0.290394638949166,0.509605361050834,"admin1","hauts_bassins"
"227","ic_genre","group_pop","pdi","homme",0.6,NA,0.490394638949166,0.709605361050834,"admin1","hauts_bassins"
"320","ic_genre","group_pop","pop_local","femme",0.545454545454545,NA,0.466681230753241,0.62422786015585,"admin1","hauts_bassins"
"418","ic_genre","group_pop","pop_local","homme",0.454545454545455,NA,0.37577213984415,0.533318769246759,"admin1","hauts_bassins"
"130","ic_genre","group_pop","pdi","femme",0.318493150684932,NA,0.273582235862597,0.363404065507266,"admin1","est"
"228","ic_genre","group_pop","pdi","homme",0.681506849315069,NA,0.636595934492734,0.726417764137403,"admin1","est"
"321","ic_genre","group_pop","pop_local","femme",0.287988422575977,NA,0.259612487302502,0.316364357849452,"admin1","est"
"419","ic_genre","group_pop","pop_local","homme",0.712011577424023,NA,0.683635642150548,0.740387512697498,"admin1","est"
"131","ic_genre","group_pop","pdi","femme",0.235294117647059,NA,0.136620580109495,0.333967655184622,"admin1","cascades"
"229","ic_genre","group_pop","pdi","homme",0.764705882352941,NA,0.666032344815378,0.863379419890504,"admin1","cascades"
"322","ic_genre","group_pop","pop_local","femme",0.319148936170213,NA,0.239277430786976,0.399020441553449,"admin1","cascades"
"420","ic_genre","group_pop","pop_local","homme",0.680851063829787,NA,0.600979558446551,0.760722569213024,"admin1","cascades"
"132","ic_genre","group_pop","pdi","femme",0.333333333333333,NA,0.25368254654374,0.412984120122926,"admin1","plateau_central"
"230","ic_genre","group_pop","pdi","homme",0.666666666666667,NA,0.587015879877073,0.74631745345626,"admin1","plateau_central"
"323","ic_genre","group_pop","pop_local","femme",0.293650793650794,NA,0.226481312873017,0.36082027442857,"admin1","plateau_central"
"421","ic_genre","group_pop","pop_local","homme",0.706349206349206,NA,0.63917972557143,0.773518687126983,"admin1","plateau_central"
"133","ic_genre","group_pop","pop_local","femme",0.248062015503876,NA,0.185271591175916,0.310852439831836,"admin1","centre_sud"
"231","ic_genre","group_pop","pop_local","homme",0.751937984496124,NA,0.689147560168164,0.814728408824084,"admin1","centre_sud"
"134","ic_genre","group_pop","pop_local","femme",0.383333333333333,NA,0.310022643560904,0.456644023105763,"admin1","sud_ouest"
"232","ic_genre","group_pop","pop_local","homme",0.616666666666667,NA,0.543355976894237,0.689977356439096,"admin1","sud_ouest"
"135","ic_genre","group_pop","pop_local","femme",0.491525423728814,NA,0.415502959909388,0.567547887548239,"admin1","centre"
"233","ic_genre","group_pop","pop_local","homme",0.508474576271186,NA,0.432452112451761,0.584497040090612,"admin1","centre"
"136","chef_menage","group_pop","pdi","non",0.431372549019608,NA,0.350192959306911,0.512552138732304,"admin1","centre_est"
"234","chef_menage","group_pop","pdi","oui",0.568627450980392,NA,0.487447861267695,0.649807040693089,"admin1","centre_est"
"324","chef_menage","group_pop","pop_local","non",0.336065573770492,NA,0.265270756286884,0.406860391254099,"admin1","centre_est"
"422","chef_menage","group_pop","pop_local","oui",0.663934426229508,NA,0.593139608745901,0.734729243713116,"admin1","centre_est"
"137","chef_menage","group_pop","pdi","non",0.20042194092827,NA,0.170138736712059,0.230705145144481,"admin1","sahel"
"235","chef_menage","group_pop","pdi","oui",0.79957805907173,NA,0.769294854855519,0.829861263287941,"admin1","sahel"
"325","chef_menage","group_pop","pop_local","non",0.21993670886076,NA,0.192800874946503,0.247072542775017,"admin1","sahel"
"423","chef_menage","group_pop","pop_local","oui",0.780063291139241,NA,0.752927457224984,0.807199125053498,"admin1","sahel"
"138","chef_menage","group_pop","pdi","non",0.184375,NA,0.148647262960677,0.220102737039323,"admin1","centre_nord"
"236","chef_menage","group_pop","pdi","oui",0.815625,NA,0.779897262960677,0.851352737039323,"admin1","centre_nord"
"326","chef_menage","group_pop","pop_local","non",0.306930693069307,NA,0.269112390873505,0.344748995265109,"admin1","centre_nord"
"424","chef_menage","group_pop","pop_local","oui",0.693069306930693,NA,0.655251004734891,0.730887609126495,"admin1","centre_nord"
"139","chef_menage","group_pop","pop_local","non",0.151515151515152,NA,0.0999873412585795,0.203042961771723,"admin1","centre_ouest"
"237","chef_menage","group_pop","pop_local","oui",0.848484848484849,NA,0.796957038228276,0.90001265874142,"admin1","centre_ouest"
"140","chef_menage","group_pop","pdi","non",0.229007633587786,NA,0.186230183700403,0.271785083475169,"admin1","nord"
"238","chef_menage","group_pop","pdi","oui",0.770992366412214,NA,0.728214916524831,0.813769816299597,"admin1","nord"
"327","chef_menage","group_pop","pop_local","non",0.228571428571429,NA,0.198372280064795,0.258770577078063,"admin1","nord"
